https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1623974400000,2021-06-18 00:00:00,AAVE/USDT,293.25000000,293.77000000,252.74000000,265.11000000,146028.06760000,39383666.56182700,91478
1623888000000,2021-06-17 00:00:00,AAVE/USDT,290.72000000,305.49000000,285.16000000,293.21000000,69912.57600000,20656676.92666700,55339
1623801600000,2021-06-16 00:00:00,AAVE/USDT,311.69000000,313.98000000,287.35000000,290.71000000,95598.85350000,28715714.17457300,79973
1623715200000,2021-06-15 00:00:00,AAVE/USDT,318.20000000,327.48000000,306.78000000,311.78000000,106084.08460000,33714257.34246100,81102
1623628800000,2021-06-14 00:00:00,AAVE/USDT,316.30000000,336.49000000,308.57000000,318.19000000,180494.17620000,57677237.16530700,156798
1623542400000,2021-06-13 00:00:00,AAVE/USDT,278.55000000,318.18000000,266.68000000,316.27000000,182230.20440000,52851713.60130000,121417
1623456000000,2021-06-12 00:00:00,AAVE/USDT,285.53000000,289.37000000,265.68000000,278.49000000,136891.93890000,37933654.53376600,90002
1623369600000,2021-06-11 00:00:00,AAVE/USDT,310.41000000,315.20000000,280.52000000,285.33000000,128679.16190000,38633840.46074200,90031
1623283200000,2021-06-10 00:00:00,AAVE/USDT,338.99000000,339.99000000,303.84000000,310.29000000,118220.47120000,37991085.30223600,90449
1623196800000,2021-06-09 00:00:00,AAVE/USDT,329.31000000,343.89000000,305.57000000,338.85000000,188262.96760000,61801739.21123700,155945
1623110400000,2021-06-08 00:00:00,AAVE/USDT,334.51000000,339.21000000,296.37000000,329.30000000,213810.62300000,68644754.49865600,169911
1623024000000,2021-06-07 00:00:00,AAVE/USDT,365.73000000,387.76000000,331.54000000,334.54000000,182850.34440000,67541485.34755600,186603
1622937600000,2021-06-06 00:00:00,AAVE/USDT,356.24000000,368.46000000,354.49000000,365.48000000,68754.66350000,24889692.04588000,56918
1622851200000,2021-06-05 00:00:00,AAVE/USDT,373.11000000,391.70000000,347.03000000,356.22000000,178930.13690000,66547425.81219100,180612
1622764800000,2021-06-04 00:00:00,AAVE/USDT,398.19000000,398.86000000,346.42000000,373.11000000,229261.99470000,84339158.27177000,205383
1622678400000,2021-06-03 00:00:00,AAVE/USDT,384.23000000,409.38000000,376.16000000,398.36000000,177686.94520000,70139683.68615200,214132
1622592000000,2021-06-02 00:00:00,AAVE/USDT,372.85000000,402.30000000,361.51000000,384.24000000,208923.16780000,80171518.97442100,215133
1622505600000,2021-06-01 00:00:00,AAVE/USDT,382.40000000,393.56000000,360.70000000,373.13000000,311375.34660000,117021562.56014100,315933
1622419200000,2021-05-31 00:00:00,AAVE/USDT,324.38000000,385.41000000,304.36000000,382.44000000,338881.08280000,118139646.42226300,318290
1622332800000,2021-05-30 00:00:00,AAVE/USDT,297.87000000,339.30000000,281.43000000,324.38000000,188588.28380000,59984265.54123300,166800
1622246400000,2021-05-29 00:00:00,AAVE/USDT,320.21000000,335.81000000,280.30000000,298.02000000,252141.73860000,77780908.13744200,186552
1622160000000,2021-05-28 00:00:00,AAVE/USDT,371.910,377.130,303.570,320.050,623804.4,210002091.0030,450680
1622073600000,2021-05-27 00:00:00,AAVE/USDT,415.070,415.590,364.540,371.880,545711.7,209872172.6180,392530
1621987200000,2021-05-26 00:00:00,AAVE/USDT,370.610,418.900,357.070,415.060,600471.2,228713291.9990,412123
1621900800000,2021-05-25 00:00:00,AAVE/USDT,387.400,404.970,320.780,370.560,833453.6,297672448.5320,573558
1621814400000,2021-05-24 00:00:00,AAVE/USDT,292.770,397.440,287.150,387.410,972045.5,329419570.9390,647787
1621728000000,2021-05-23 00:00:00,AAVE/USDT,334.190,350.500,207.150,292.820,1603327.2,436716410.2049,953714
1621641600000,2021-05-22 00:00:00,AAVE/USDT,372.490,382.230,309.050,334.130,922886.9,313452796.6030,624643
1621555200000,2021-05-21 00:00:00,AAVE/USDT,467.220,494.960,307.720,372.650,1121823.7,447687431.9310,738748
1621468800000,2021-05-20 00:00:00,AAVE/USDT,411.610,509.270,350.050,467.130,5080061.8,2258682373.8070,890087
1621382400000,2021-05-19 00:00:00,AAVE/USDT,627.990,649.410,253.560,411.690,4467262.6,2208184556.4096,1351114
1621296000000,2021-05-18 00:00:00,AAVE/USDT,573.090,666.800,562.420,627.870,1457028.8,919681754.1643,963351
1621209600000,2021-05-17 00:00:00,AAVE/USDT,528.110,594.690,470.340,573.030,1308749.4,715144384.3185,882216
1621123200000,2021-05-16 00:00:00,AAVE/USDT,517.350,563.620,479.000,528.240,721944.4,374425622.8211,474696
1621036800000,2021-05-15 00:00:00,AAVE/USDT,595.560,611.490,506.770,517.530,787783.8,438055722.7441,549883
1620950400000,2021-05-14 00:00:00,AAVE/USDT,509.000,635.950,506.090,595.410,1067785.6,614045606.9263,712389
1620864000000,2021-05-13 00:00:00,AAVE/USDT,514.560,622.100,450.000,509.230,2157163.1,1178295286.2022,1403200
1620777600000,2021-05-12 00:00:00,AAVE/USDT,457.450,599.800,455.940,515.200,2376284.6,1305490538.7312,1423118
1620691200000,2021-05-11 00:00:00,AAVE/USDT,433.659,459.400,417.448,457.500,342948.6,150352284.6186,241507
1620604800000,2021-05-10 00:00:00,AAVE/USDT,459.860,484.225,400.000,433.354,501423.4,228632288.7200,333840
1620518400000,2021-05-09 00:00:00,AAVE/USDT,466.904,469.666,440.958,459.835,302621.5,138293480.5463,224671
1620432000000,2021-05-08 00:00:00,AAVE/USDT,445.899,476.987,440.881,466.888,356918.4,163859246.5173,250082
1620345600000,2021-05-07 00:00:00,AAVE/USDT,453.466,468.361,431.932,445.998,387924.5,174981066.2427,258972
1620259200000,2021-05-06 00:00:00,AAVE/USDT,481.622,483.270,440.107,453.478,488506.6,225820815.6180,334922
1620172800000,2021-05-05 00:00:00,AAVE/USDT,448.328,486.390,440.006,481.675,448727.1,208618175.5910,327526
