https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1616371200000,2021-03-22 00:00:00,MKR/USDT,2101.67,2122.87,1946.90,1964.60,54294.231,111684579.34052,152510
1616284800000,2021-03-21 00:00:00,MKR/USDT,2140.57,2170.28,2065.40,2101.81,46553.143,98369114.25577,127982
1616198400000,2021-03-20 00:00:00,MKR/USDT,2096.96,2276.68,2093.46,2140.25,49566.119,107836582.82634,160413
1616112000000,2021-03-19 00:00:00,MKR/USDT,2123.98,2139.30,2067.17,2097.35,51185.092,107577280.27835,143789
1616025600000,2021-03-18 00:00:00,MKR/USDT,2111.04,2206.25,2100.39,2124.15,53241.230,113849276.77340,152186
1615939200000,2021-03-17 00:00:00,MKR/USDT,2072.12,2181.00,2023.27,2112.10,53505.044,112275415.59707,135001
1615852800000,2021-03-16 00:00:00,MKR/USDT,1996.85,2115.44,1931.42,2072.26,60622.688,123722040.41660,160871
1615766400000,2021-03-15 00:00:00,MKR/USDT,2039.12,2135.33,1932.94,1996.37,62114.179,125779167.81201,180683
1615680000000,2021-03-14 00:00:00,MKR/USDT,2179.58,2208.41,2038.49,2039.91,55169.487,118084339.61854,153207
1615593600000,2021-03-13 00:00:00,MKR/USDT,2136.98,2239.45,2080.45,2178.22,55029.071,118917892.66813,141007
1615507200000,2021-03-12 00:00:00,MKR/USDT,2234.11,2303.21,2094.00,2136.98,64842.568,142249462.94612,175769
1615420800000,2021-03-11 00:00:00,MKR/USDT,2254.78,2294.13,2109.77,2234.14,63437.126,139462645.81310,173468
1615334400000,2021-03-10 00:00:00,MKR/USDT,2266.70,2360.87,2170.77,2255.43,66072.651,148328802.29290,187153
1615248000000,2021-03-09 00:00:00,MKR/USDT,2196.37,2283.29,2145.61,2266.70,52121.775,115403760.85543,138489
1615161600000,2021-03-08 00:00:00,MKR/USDT,2261.67,2274.31,2055.96,2196.13,55885.797,120206281.17942,148056
1615075200000,2021-03-07 00:00:00,MKR/USDT,2252.49,2269.27,2156.57,2260.91,42421.611,93711812.47241,110707
1614988800000,2021-03-06 00:00:00,MKR/USDT,2059.31,2327.00,2042.97,2252.31,56386.666,122091137.25057,155193
1614902400000,2021-03-05 00:00:00,MKR/USDT,2197.41,2198.39,2039.30,2059.10,57955.387,121596939.16393,128179
1614816000000,2021-03-04 00:00:00,MKR/USDT,2194.01,2238.06,2047.82,2197.64,66918.347,144088720.93221,161802
1614729600000,2021-03-03 00:00:00,MKR/USDT,2161.01,2363.27,2148.99,2193.28,61610.992,140093948.02732,136764
1614643200000,2021-03-02 00:00:00,MKR/USDT,2168.31,2290.73,2087.71,2161.89,61715.797,135062944.36902,120212
1614556800000,2021-03-01 00:00:00,MKR/USDT,2038.05,2259.39,2021.43,2168.08,61531.658,133405257.03874,139543
1614470400000,2021-02-28 00:00:00,MKR/USDT,1975.42,2062.10,1782.21,2039.19,66372.289,126071153.40551,172806
1614384000000,2021-02-27 00:00:00,MKR/USDT,1952.89,2090.55,1938.71,1975.58,60305.721,121689917.10721,136030
1614297600000,2021-02-26 00:00:00,MKR/USDT,2025.49,2131.83,1881.01,1953.05,67306.538,135158231.59745,156715
1614211200000,2021-02-25 00:00:00,MKR/USDT,2235.29,2339.81,2013.13,2026.28,67825.598,150664415.67908,136774
