https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1627084800000,2021-07-24 00:00:00,ICP/USDT,34.65000000,45.74000000,33.83000000,43.48000000,4780213.02000000,190987005.10160000,351763
1626998400000,2021-07-23 00:00:00,ICP/USDT,33.75000000,35.09000000,31.68000000,34.65000000,1721674.64000000,57723882.96490000,96072
1626912000000,2021-07-22 00:00:00,ICP/USDT,33.49000000,35.50000000,32.15000000,33.75000000,2705596.56000000,91925977.66990000,136095
1626825600000,2021-07-21 00:00:00,ICP/USDT,28.54000000,35.16000000,27.74000000,33.51000000,2226540.52000000,72362762.05400000,146639
1626739200000,2021-07-20 00:00:00,ICP/USDT,30.92000000,31.55000000,26.90000000,28.53000000,1376424.88000000,39421073.87830000,85656
1626652800000,2021-07-19 00:00:00,ICP/USDT,32.36000000,32.59000000,29.81000000,30.92000000,876692.94000000,27185495.27520000,58087
1626566400000,2021-07-18 00:00:00,ICP/USDT,32.28000000,34.80000000,31.86000000,32.36000000,899628.77000000,29810968.31050000,56880
1626480000000,2021-07-17 00:00:00,ICP/USDT,32.36000000,33.51000000,31.13000000,32.27000000,998923.24000000,32370532.79430000,63867
1626393600000,2021-07-16 00:00:00,ICP/USDT,35.99000000,36.12000000,32.14000000,32.37000000,1117974.43000000,38383594.93230000,80475
1626307200000,2021-07-15 00:00:00,ICP/USDT,36.86000000,38.39000000,35.30000000,35.96000000,1358762.63000000,49864303.68420000,96213
1626220800000,2021-07-14 00:00:00,ICP/USDT,38.98000000,39.86000000,35.27000000,36.89000000,2086244.42000000,78155089.15480000,137269
1626134400000,2021-07-13 00:00:00,ICP/USDT,37.21000000,39.95000000,35.21000000,38.92000000,1471520.55000000,55032313.98170000,105053
1626048000000,2021-07-12 00:00:00,ICP/USDT,39.74000000,40.99000000,35.91000000,37.22000000,1035412.03000000,39956673.83830000,81090
1625961600000,2021-07-11 00:00:00,ICP/USDT,38.62000000,41.46000000,37.73000000,39.71000000,1073749.97000000,42857708.90120000,82249
1625875200000,2021-07-10 00:00:00,ICP/USDT,40.57000000,42.11000000,37.61000000,38.64000000,1190654.85000000,46984461.50100000,95813
1625788800000,2021-07-09 00:00:00,ICP/USDT,40.27000000,42.52000000,37.28000000,40.60000000,1377879.20000000,55251874.27860000,109419
1625702400000,2021-07-08 00:00:00,ICP/USDT,45.37000000,45.50000000,39.16000000,40.28000000,1723697.25000000,72182997.64530000,144843
1625616000000,2021-07-07 00:00:00,ICP/USDT,46.20000000,47.95000000,45.00000000,45.37000000,1486321.71000000,69079875.39770000,115476
1625529600000,2021-07-06 00:00:00,ICP/USDT,46.24000000,48.45000000,45.00000000,46.20000000,1682990.23000000,78391547.52930000,129176
1625443200000,2021-07-05 00:00:00,ICP/USDT,46.72000000,48.00000000,44.00000000,46.22000000,2131768.05000000,97641278.51490000,162589
1625356800000,2021-07-04 00:00:00,ICP/USDT,48.77000000,50.98000000,46.43000000,46.71000000,2116096.87000000,103114128.55340000,176817
1625270400000,2021-07-03 00:00:00,ICP/USDT,43.86000000,50.00000000,42.72000000,48.74000000,2483121.27000000,116197398.29530000,194548
1625184000000,2021-07-02 00:00:00,ICP/USDT,45.69000000,47.43000000,41.42000000,43.87000000,2459456.31000000,106081355.33560000,178057
1625097600000,2021-07-01 00:00:00,ICP/USDT,49.92000000,50.79000000,44.20000000,45.69000000,3381335.99000000,157749664.71820000,240532
1625011200000,2021-06-30 00:00:00,ICP/USDT,54.16000000,54.69000000,43.20000000,49.94000000,6250390.78000000,301142999.05200000,428104
1624924800000,2021-06-29 00:00:00,ICP/USDT,51.21000000,59.45000000,46.79000000,54.22000000,5280307.53000000,275033025.50530000,446425
1624838400000,2021-06-28 00:00:00,ICP/USDT,42.99000000,51.50000000,40.48000000,51.26000000,5785634.89000000,256657188.22720000,428518
1624752000000,2021-06-27 00:00:00,ICP/USDT,30.32000000,46.00000000,29.45000000,43.00000000,4776729.13000000,174264118.14490000,349534
1624665600000,2021-06-26 00:00:00,ICP/USDT,31.11000000,33.75000000,28.26000000,30.34000000,2335156.08000000,70046158.11040000,144079
1624579200000,2021-06-25 00:00:00,ICP/USDT,34.61000000,36.70000000,30.70000000,31.13000000,2238122.07000000,74667578.32250000,165214
1624492800000,2021-06-24 00:00:00,ICP/USDT,37.74000000,38.89000000,33.12000000,34.60000000,2212299.09000000,79276516.87430000,175031
1624406400000,2021-06-23 00:00:00,ICP/USDT,34.52000000,41.50000000,32.86000000,37.75000000,2192089.96000000,82759657.44620000,166143
1624320000000,2021-06-22 00:00:00,ICP/USDT,36.66000000,40.13000000,31.82000000,34.54000000,2316371.81000000,83181244.89160000,190912
1624233600000,2021-06-21 00:00:00,ICP/USDT,47.12000000,47.64000000,36.20000000,36.61000000,2441109.22000000,100108832.59880000,201475
1624147200000,2021-06-20 00:00:00,ICP/USDT,48.64000000,50.70000000,44.00000000,47.10000000,1463587.92000000,69289982.82880000,133053
1624060800000,2021-06-19 00:00:00,ICP/USDT,48.44000000,54.90000000,46.33000000,48.62000000,1737401.79000000,88358981.56820000,157614
1623974400000,2021-06-18 00:00:00,ICP/USDT,54.12000000,55.54000000,46.89000000,48.44000000,1305078.10000000,66065252.38960000,128868
1623888000000,2021-06-17 00:00:00,ICP/USDT,55.34000000,60.18000000,51.02000000,54.09000000,1388646.51000000,76137054.75030000,152658
