https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USDT,tradecount
1625356800000,2021-07-04 00:00:00,LRC/USDT,0.25921000,0.26751000,0.25081000,0.25803000,12868334.40000000,3351113.28584000,14176
1625270400000,2021-07-03 00:00:00,LRC/USDT,0.24966000,0.26900000,0.24478000,0.25944000,16697774.00000000,4288829.01890600,16239
1625184000000,2021-07-02 00:00:00,LRC/USDT,0.24946000,0.25233000,0.23909000,0.24948000,12008425.00000000,2943949.23036800,12382
1625097600000,2021-07-01 00:00:00,LRC/USDT,0.26794000,0.26991000,0.24543000,0.24997000,14816368.10000000,3772376.79395600,16448
1625011200000,2021-06-30 00:00:00,LRC/USDT,0.27841000,0.28315000,0.25600000,0.26794000,23870839.40000000,6403299.16958900,29340
1624924800000,2021-06-29 00:00:00,LRC/USDT,0.27931000,0.29716000,0.27629000,0.27859000,42955574.10000000,12349499.03340200,52539
1624838400000,2021-06-28 00:00:00,LRC/USDT,0.27769000,0.30200000,0.26560000,0.27938000,121665262.20000000,34450668.88224000,155050
1624752000000,2021-06-27 00:00:00,LRC/USDT,0.21072000,0.32751000,0.20862000,0.27809000,216941366.10000000,59704007.23393400,181476
1624665600000,2021-06-26 00:00:00,LRC/USDT,0.20605000,0.21244000,0.19719000,0.21079000,18640407.60000000,3805387.45960700,16919
1624579200000,2021-06-25 00:00:00,LRC/USDT,0.22352000,0.23302000,0.20482000,0.20565000,21073982.70000000,4595886.54100100,21638
1624492800000,2021-06-24 00:00:00,LRC/USDT,0.21727000,0.22726000,0.20413000,0.22337000,15719679.10000000,3396207.13753000,15417
1624406400000,2021-06-23 00:00:00,LRC/USDT,0.19974000,0.22309000,0.19370000,0.21712000,17572680.50000000,3780479.39008200,16736
1624320000000,2021-06-22 00:00:00,LRC/USDT,0.21302000,0.22224000,0.17420000,0.20030000,28762085.30000000,5772462.30586700,28597
1624233600000,2021-06-21 00:00:00,LRC/USDT,0.27089000,0.27231000,0.21257000,0.21299000,19651139.00000000,4649082.17693600,18630
1624147200000,2021-06-20 00:00:00,LRC/USDT,0.26812000,0.27229000,0.24528000,0.27051000,12997085.60000000,3355572.86659400,13556
1624060800000,2021-06-19 00:00:00,LRC/USDT,0.27073000,0.27499000,0.25925000,0.26836000,8435113.20000000,2274546.75370000,10567
1623974400000,2021-06-18 00:00:00,LRC/USDT,0.29295000,0.29721000,0.26031000,0.27035000,13469759.00000000,3764390.29171000,17257
1623888000000,2021-06-17 00:00:00,LRC/USDT,0.28927000,0.29959000,0.28350000,0.29306000,11379808.40000000,3322001.05095800,13175
1623801600000,2021-06-16 00:00:00,LRC/USDT,0.30645000,0.31183000,0.28500000,0.28946000,18185857.00000000,5442445.91719900,18777
1623715200000,2021-06-15 00:00:00,LRC/USDT,0.31329000,0.32098000,0.30220000,0.30647000,13120115.30000000,4092443.62980400,16433
1623628800000,2021-06-14 00:00:00,LRC/USDT,0.30635000,0.32049000,0.29889000,0.31329000,13274391.70000000,4113468.45302000,16497
1623542400000,2021-06-13 00:00:00,LRC/USDT,0.29023000,0.31519000,0.28360000,0.30546000,11320660.40000000,3340586.40903300,13521
1623456000000,2021-06-12 00:00:00,LRC/USDT,0.29199000,0.30963000,0.27920000,0.29019000,13782427.30000000,4028982.28062800,16771
1623369600000,2021-06-11 00:00:00,LRC/USDT,0.31216000,0.31722000,0.28668000,0.29226000,8378651.60000000,2565729.08176200,11289
1623283200000,2021-06-10 00:00:00,LRC/USDT,0.33269000,0.34276000,0.30700000,0.31203000,11279700.10000000,3687278.43544100,17025
1623196800000,2021-06-09 00:00:00,LRC/USDT,0.31954000,0.33684000,0.30734000,0.33189000,17041907.20000000,5496495.95219500,21222
1623110400000,2021-06-08 00:00:00,LRC/USDT,0.32733000,0.33399000,0.28428000,0.31935000,24207742.50000000,7426304.78648200,23881
1623024000000,2021-06-07 00:00:00,LRC/USDT,0.35525000,0.36954000,0.32554000,0.32743000,14996091.30000000,5272880.57590200,19027
1622937600000,2021-06-06 00:00:00,LRC/USDT,0.34573000,0.36258000,0.34307000,0.35538000,7919128.30000000,2803815.26809400,11337
1622851200000,2021-06-05 00:00:00,LRC/USDT,0.36116000,0.37494000,0.33970000,0.34594000,12296511.30000000,4409245.80553200,15863
1622764800000,2021-06-04 00:00:00,LRC/USDT,0.39231000,0.39275000,0.34388000,0.36125000,14433260.00000000,5228164.95390100,20363
1622678400000,2021-06-03 00:00:00,LRC/USDT,0.38102000,0.40871000,0.37546000,0.39218000,15224473.50000000,5968116.58223800,24325
1622592000000,2021-06-02 00:00:00,LRC/USDT,0.37477,0.40000,0.36022,0.38087,63118728,24176942.25825,131316
1622505600000,2021-06-01 00:00:00,LRC/USDT,0.36836,0.40720,0.35705,0.37462,98308025,37319207.60591,173465
1622419200000,2021-05-31 00:00:00,LRC/USDT,0.33461,0.39211,0.31552,0.36849,85668508,30533654.40182,144220
1622332800000,2021-05-30 00:00:00,LRC/USDT,0.32125,0.35692,0.29872,0.33467,66293723,22191883.10372,109766
1622246400000,2021-05-29 00:00:00,LRC/USDT,0.35085,0.38409,0.30199,0.32126,85081955,28928281.53955,152787
1622160000000,2021-05-28 00:00:00,LRC/USDT,0.40488,0.48599,0.33266,0.35074,144614488,57345562.37245,291739
1622073600000,2021-05-27 00:00:00,LRC/USDT,0.42212,0.44305,0.38000,0.40492,92258433,37609014.15900,166695
1621987200000,2021-05-26 00:00:00,LRC/USDT,0.39090,0.47814,0.38482,0.42223,184196625,79341595.19568,290390
1621900800000,2021-05-25 00:00:00,LRC/USDT,0.33794,0.40658,0.28888,0.39108,203274721,70867987.00420,265043
1621814400000,2021-05-24 00:00:00,LRC/USDT,0.27219,0.34232,0.26286,0.33798,170288074,51004825.57581,208874
1621728000000,2021-05-23 00:00:00,LRC/USDT,0.31322,0.32837,0.22104,0.27209,111186927,30019304.10011,177526
1621641600000,2021-05-22 00:00:00,LRC/USDT,0.34761,0.35581,0.30185,0.31312,80681017,26465937.39497,132714
1621555200000,2021-05-21 00:00:00,LRC/USDT,0.40465,0.43413,0.29768,0.34762,99710879,37106144.32826,181680
1621468800000,2021-05-20 00:00:00,LRC/USDT,0.34000,0.42815,0.30180,0.40475,156496306,59557121.21193,264566
1621382400000,2021-05-19 00:00:00,LRC/USDT,0.52778,0.53837,0.25648,0.34011,178157721,72334941.02154,345479
1621296000000,2021-05-18 00:00:00,LRC/USDT,0.51018,0.57591,0.50462,0.52762,72673616,39216931.14404,187089
1621209600000,2021-05-17 00:00:00,LRC/USDT,0.56781,0.56837,0.48601,0.51009,91810814,48094017.78669,228226
1621123200000,2021-05-16 00:00:00,LRC/USDT,0.55835,0.62176,0.52768,0.56772,97010547,55791875.47570,237322
1621036800000,2021-05-15 00:00:00,LRC/USDT,0.61307,0.65565,0.55645,0.55850,112054808,68532805.12555,275007
1620950400000,2021-05-14 00:00:00,LRC/USDT,0.61286,0.66379,0.58647,0.61309,142132822,89208076.88771,327165
1620864000000,2021-05-13 00:00:00,LRC/USDT,0.61782,0.66815,0.56157,0.61241,222116517,138705313.07631,496223
1620777600000,2021-05-12 00:00:00,LRC/USDT,0.65970,0.91000,0.59502,0.61791,853368952,668745528.29399,1890943
1620691200000,2021-05-11 00:00:00,LRC/USDT,0.51016,0.69378,0.49143,0.65937,206113254,126538205.48900,436934
1620604800000,2021-05-10 00:00:00,LRC/USDT,0.57180,0.58989,0.48235,0.51022,52775070,28831674.89664,136340
1620518400000,2021-05-09 00:00:00,LRC/USDT,0.57746,0.59107,0.53500,0.57177,34881037,19611082.96062,104981
1620432000000,2021-05-08 00:00:00,LRC/USDT,0.58193,0.60237,0.55686,0.57716,35057943,20338496.23113,108191
1620345600000,2021-05-07 00:00:00,LRC/USDT,0.57822,0.63736,0.56400,0.58185,80948913,48680261.22524,205847
1620259200000,2021-05-06 00:00:00,LRC/USDT,0.57480,0.59658,0.54388,0.57837,72850030,41795321.49662,176951
1620172800000,2021-05-05 00:00:00,LRC/USDT,0.50948,0.58477,0.50313,0.57479,73039285,40264346.17635,151002
1620086400000,2021-05-04 00:00:00,LRC/USDT,0.58125,0.58218,0.49713,0.50950,69409106,37290628.19299,154659
1620000000000,2021-05-03 00:00:00,LRC/USDT,0.57730,0.60846,0.55814,0.58119,49481335,29003796.27637,131405
1619913600000,2021-05-02 00:00:00,LRC/USDT,0.58251,0.59464,0.55705,0.57694,54704962,31430998.85031,143173
1619827200000,2021-05-01 00:00:00,LRC/USDT,0.56184,0.58591,0.54734,0.58237,36236848,20600009.45129,111950
1619740800000,2021-04-30 00:00:00,LRC/USDT,0.53152,0.57206,0.51672,0.56172,42356631,23509394.86675,117913
1619654400000,2021-04-29 00:00:00,LRC/USDT,0.52339,0.55911,0.50111,0.53162,40948958,21453203.44462,102624
1619568000000,2021-04-28 00:00:00,LRC/USDT,0.54179,0.56134,0.49648,0.52285,48674790,25608495.99083,111413
1619481600000,2021-04-27 00:00:00,LRC/USDT,0.49577,0.54440,0.48717,0.54199,43680194,22584586.20584,107437
1619395200000,2021-04-26 00:00:00,LRC/USDT,0.43862,0.49935,0.43551,0.49586,45770748,21938820.29517,119246
1619308800000,2021-04-25 00:00:00,LRC/USDT,0.43616,0.46736,0.41198,0.43882,38260581,16943124.75891,89260
1619222400000,2021-04-24 00:00:00,LRC/USDT,0.47992,0.48044,0.43133,0.43559,43393876,19676665.84392,108745
1619136000000,2021-04-23 00:00:00,LRC/USDT,0.50168,0.50929,0.39540,0.47982,85410430,38565777.53510,182088
1619049600000,2021-04-22 00:00:00,LRC/USDT,0.54786,0.57656,0.48100,0.50160,54301791,29284469.78255,149870
1618963200000,2021-04-21 00:00:00,LRC/USDT,0.57023,0.60281,0.54470,0.54757,57982576,33218943.77793,150239
1618876800000,2021-04-20 00:00:00,LRC/USDT,0.56103,0.57868,0.50700,0.57006,63949743,34939279.78706,152924
1618790400000,2021-04-19 00:00:00,LRC/USDT,0.63005,0.64143,0.53319,0.56109,77816034,45498993.11470,192414
1618704000000,2021-04-18 00:00:00,LRC/USDT,0.75309,0.77938,0.48095,0.63030,162727333,99742670.60432,393702
1618617600000,2021-04-17 00:00:00,LRC/USDT,0.64127,0.78558,0.63557,0.75273,146284053,105239357.41787,354064
1618531200000,2021-04-16 00:00:00,LRC/USDT,0.67540,0.68092,0.60748,0.64134,61763721,39630249.21429,166623
1618444800000,2021-04-15 00:00:00,LRC/USDT,0.65295,0.70000,0.65144,0.67500,64917114,44114033.99129,168281
1618358400000,2021-04-14 00:00:00,LRC/USDT,0.60085,0.68120,0.59288,0.65273,85921841,55010379.78879,219106
1618272000000,2021-04-13 00:00:00,LRC/USDT,0.62433,0.63843,0.58359,0.60084,60534289,36765943.75649,139256
1618185600000,2021-04-12 00:00:00,LRC/USDT,0.57324,0.62454,0.56203,0.62433,66336120,39111472.33885,151294
