https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SC,Volume USDT,tradecount
1620864000000,2021-05-13 00:00:00,SC/USDT,0.029456,0.032867,0.027042,0.030565,1171434149,35491164.975836,132535
1620777600000,2021-05-12 00:00:00,SC/USDT,0.037308,0.038679,0.028517,0.029513,796456940,28036678.491299,111860
1620691200000,2021-05-11 00:00:00,SC/USDT,0.034549,0.037907,0.033095,0.037329,869756417,31293229.169943,124088
1620604800000,2021-05-10 00:00:00,SC/USDT,0.039475,0.040136,0.030824,0.034580,1149798011,42499886.771873,148033
1620518400000,2021-05-09 00:00:00,SC/USDT,0.040497,0.041262,0.037291,0.039465,833241605,32528430.693001,113679
1620432000000,2021-05-08 00:00:00,SC/USDT,0.042528,0.043038,0.039500,0.040454,729524254,30206008.860858,105509
1620345600000,2021-05-07 00:00:00,SC/USDT,0.041314,0.044950,0.038900,0.042476,1576757707,66958696.862575,192682
1620259200000,2021-05-06 00:00:00,SC/USDT,0.041210,0.044279,0.038530,0.041311,1771594419,73966810.255169,215492
1620172800000,2021-05-05 00:00:00,SC/USDT,0.035803,0.044997,0.035332,0.041225,2646122455,108391720.576292,297292
1620086400000,2021-05-04 00:00:00,SC/USDT,0.040714,0.040773,0.034476,0.035804,1213683621,45598208.682821,157057
1620000000000,2021-05-03 00:00:00,SC/USDT,0.041433,0.042896,0.040051,0.040670,853622393,35408801.038008,112037
1619913600000,2021-05-02 00:00:00,SC/USDT,0.040044,0.043013,0.039185,0.041414,1438782839,59542365.243930,172706
1619827200000,2021-05-01 00:00:00,SC/USDT,0.040850,0.041300,0.038488,0.040002,894278639,35667590.219001,109638
1619740800000,2021-04-30 00:00:00,SC/USDT,0.037775,0.041020,0.036881,0.040819,826360061,32107168.862670,109311
1619654400000,2021-04-29 00:00:00,SC/USDT,0.039373,0.039506,0.036184,0.037771,782951657,29794051.708759,101379
1619568000000,2021-04-28 00:00:00,SC/USDT,0.041140,0.043134,0.035831,0.039374,1427966213,56014038.663773,170070
1619481600000,2021-04-27 00:00:00,SC/USDT,0.036777,0.041940,0.035700,0.041141,1803553972,71983178.584963,211429
1619395200000,2021-04-26 00:00:00,SC/USDT,0.030642,0.037000,0.029997,0.036755,1286903974,44046396.084065,157099
1619308800000,2021-04-25 00:00:00,SC/USDT,0.031284,0.034384,0.027637,0.030643,1347899722,42680143.506381,145816
1619222400000,2021-04-24 00:00:00,SC/USDT,0.034420,0.035277,0.030413,0.031269,1733356022,56215914.811547,179987
1619136000000,2021-04-23 00:00:00,SC/USDT,0.034687,0.035255,0.024535,0.034420,3776001692,113266338.435788,353269
1619049600000,2021-04-22 00:00:00,SC/USDT,0.042254,0.043053,0.033119,0.034683,2421532098,95381670.856661,257976
1618963200000,2021-04-21 00:00:00,SC/USDT,0.044902,0.048115,0.041375,0.042210,2515394189,113225583.062725,303779
1618876800000,2021-04-20 00:00:00,SC/USDT,0.043787,0.050330,0.037333,0.044925,3264330100,141074517.748955,364935
1618790400000,2021-04-19 00:00:00,SC/USDT,0.048222,0.049744,0.040000,0.043724,2823824576,128241905.693718,358974
1618704000000,2021-04-18 00:00:00,SC/USDT,0.053215,0.056860,0.031328,0.048185,6506495267,300546155.000929,784708
1618617600000,2021-04-17 00:00:00,SC/USDT,0.042775,0.064289,0.042758,0.053241,13887223758,756522097.444611,1550692
1618531200000,2021-04-16 00:00:00,SC/USDT,0.033229,0.045927,0.030476,0.042758,6075557229,234967085.586188,547719
1618444800000,2021-04-15 00:00:00,SC/USDT,0.033599,0.034556,0.030358,0.033206,1494394374,47892506.648498,141064
1618358400000,2021-04-14 00:00:00,SC/USDT,0.028257,0.036700,0.027058,0.033537,3214698538,105145216.233460,373597
1618272000000,2021-04-13 00:00:00,SC/USDT,0.026386,0.028674,0.024905,0.028215,317860912,8482519.532732,28697
1618185600000,2021-04-12 00:00:00,SC/USDT,0.027450,0.027845,0.026025,0.026387,183904380,4932939.629313,21206
