https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FIL,Volume USDT,tradecount
1623369600000,2021-06-11 00:00:00,FIL/USDT,73.32000000,74.12000000,69.62000000,70.80000000,1554746.04020000,112864438.97396600,187343
1623283200000,2021-06-10 00:00:00,FIL/USDT,77.78000000,79.13000000,71.61000000,73.31000000,2308661.73510000,174776423.47161600,273426
1623196800000,2021-06-09 00:00:00,FIL/USDT,75.98000000,78.91000000,70.89000000,77.76000000,3182405.92980000,238147462.81732300,387560
1623110400000,2021-06-08 00:00:00,FIL/USDT,82.00000000,83.75000000,70.36000000,76.02000000,4778130.60100000,361804815.50829100,538104
1623024000000,2021-06-07 00:00:00,FIL/USDT,86.98000000,92.10000000,80.15000000,81.99000000,2876771.73510000,254314337.38151900,385657
1622937600000,2021-06-06 00:00:00,FIL/USDT,88.15000000,89.05000000,86.01000000,86.99000000,1401268.04880000,122484507.88166700,221264
1622851200000,2021-06-05 00:00:00,FIL/USDT,88.00000000,93.03000000,85.85000000,88.16000000,2864255.07930000,255544351.46079500,501119
1622764800000,2021-06-04 00:00:00,FIL/USDT,89.47000000,97.99000000,84.51000000,88.00000000,6430417.60170000,578634372.48845200,1112317
1622678400000,2021-06-03 00:00:00,FIL/USDT,70.09000000,94.05000000,69.47000000,89.48000000,5210285.14940000,432125036.02007400,903233
1622592000000,2021-06-02 00:00:00,FIL/USDT,69.18000000,72.06000000,68.15000000,70.09000000,1314034.60860000,91975144.44212600,230666
1622505600000,2021-06-01 00:00:00,FIL/USDT,72.52000000,73.17000000,68.02000000,69.18000000,1611400.02770000,113009095.50348100,292621
1622419200000,2021-05-31 00:00:00,FIL/USDT,68.34000000,72.92000000,66.28000000,72.52000000,2040700.74090000,142145489.54084800,337869
1622332800000,2021-05-30 00:00:00,FIL/USDT,68.25000000,69.44000000,65.25000000,68.34000000,1796269.42580000,121576101.33066100,270903
1622246400000,2021-05-29 00:00:00,FIL/USDT,66.74000000,69.87000000,64.50000000,68.24000000,1921950.24070000,129008891.14148000,319896
1622160000000,2021-05-28 00:00:00,FIL/USDT,71.417,71.760,64.847,66.732,2371941.0,160560739.5332,343585
1622073600000,2021-05-27 00:00:00,FIL/USDT,74.485,74.532,68.677,71.402,2219396.9,159084685.2134,313651
1621987200000,2021-05-26 00:00:00,FIL/USDT,72.242,74.970,69.976,74.506,2816246.1,204282603.8478,429263
1621900800000,2021-05-25 00:00:00,FIL/USDT,74.717,79.722,65.699,72.197,4465244.9,317781616.8431,639440
1621814400000,2021-05-24 00:00:00,FIL/USDT,64.795,75.099,62.186,74.733,5192254.0,355087498.5147,722879
1621728000000,2021-05-23 00:00:00,FIL/USDT,72.171,74.738,55.000,64.793,5312058.3,342171640.4813,755864
1621641600000,2021-05-22 00:00:00,FIL/USDT,76.865,77.422,66.389,72.187,4254110.9,308219137.4822,603277
1621555200000,2021-05-21 00:00:00,FIL/USDT,88.638,94.991,67.714,76.840,6477706.2,517293978.5949,984257
1621468800000,2021-05-20 00:00:00,FIL/USDT,65.245,95.381,60.917,88.681,10978336.8,910970726.9717,1530573
1621382400000,2021-05-19 00:00:00,FIL/USDT,100.243,101.863,44.389,65.246,8612525.1,672080653.2157,1227094
1621296000000,2021-05-18 00:00:00,FIL/USDT,99.508,106.210,96.877,100.218,2301034.5,233124991.2370,422718
1621209600000,2021-05-17 00:00:00,FIL/USDT,107.867,107.979,93.153,99.512,3428853.7,344532770.5333,595890
1621123200000,2021-05-16 00:00:00,FIL/USDT,110.533,116.266,100.077,107.844,2915579.7,316421304.5484,551964
1621036800000,2021-05-15 00:00:00,FIL/USDT,120.725,122.968,109.765,110.539,2603908.1,302899104.6751,441416
1620950400000,2021-05-14 00:00:00,FIL/USDT,117.846,125.000,113.793,120.711,2817361.2,336012471.9783,462318
1620864000000,2021-05-13 00:00:00,FIL/USDT,126.949,128.013,89.005,117.847,8452312.2,959081954.6131,1396285
1620777600000,2021-05-12 00:00:00,FIL/USDT,143.015,145.765,123.000,127.074,2511975.9,346625874.1318,446744
1620691200000,2021-05-11 00:00:00,FIL/USDT,135.758,143.550,133.859,143.023,1864671.0,257627736.4222,357424
1620604800000,2021-05-10 00:00:00,FIL/USDT,146.748,149.623,127.561,135.731,2686387.0,378392621.9633,480013
1620518400000,2021-05-09 00:00:00,FIL/USDT,148.318,149.874,140.550,146.778,1848592.8,267707560.2682,336521
1620432000000,2021-05-08 00:00:00,FIL/USDT,150.560,154.683,146.091,148.299,1575315.1,236997494.7602,297558
1620345600000,2021-05-07 00:00:00,FIL/USDT,153.848,155.378,146.550,150.554,1907572.4,290430245.2285,358575
1620259200000,2021-05-06 00:00:00,FIL/USDT,152.677,165.607,149.947,153.821,3883773.3,611812567.6637,675244
1620172800000,2021-05-05 00:00:00,FIL/USDT,140.836,155.298,139.630,152.697,2650674.8,397823406.1892,466968
1620086400000,2021-05-04 00:00:00,FIL/USDT,160.451,160.764,134.000,140.830,3430750.2,510370234.1738,602582
1620000000000,2021-05-03 00:00:00,FIL/USDT,162.566,164.310,158.587,160.412,1694745.7,273877242.8939,294634
1619913600000,2021-05-02 00:00:00,FIL/USDT,164.419,167.000,155.583,162.566,1802762.6,289354801.3241,324509
1619827200000,2021-05-01 00:00:00,FIL/USDT,164.066,168.000,161.275,164.407,1785050.0,293608899.9177,323439
1619740800000,2021-04-30 00:00:00,FIL/USDT,149.895,165.591,149.837,164.071,3336302.4,528592994.8826,586452
1619654400000,2021-04-29 00:00:00,FIL/USDT,151.090,152.397,147.386,149.895,1528780.7,229598235.5940,298463
1619568000000,2021-04-28 00:00:00,FIL/USDT,152.642,156.231,146.382,151.098,1691746.2,255657185.7742,334006
1619481600000,2021-04-27 00:00:00,FIL/USDT,154.276,155.488,148.002,152.637,2070555.9,315897813.9731,409367
1619395200000,2021-04-26 00:00:00,FIL/USDT,134.150,155.000,133.517,154.274,2735681.9,398644335.8165,542342
1619308800000,2021-04-25 00:00:00,FIL/USDT,133.674,137.041,131.800,134.126,1246661.8,167240016.6994,266261
1619222400000,2021-04-24 00:00:00,FIL/USDT,138.674,142.297,131.300,133.613,1800129.4,243042267.2233,387072
1619136000000,2021-04-23 00:00:00,FIL/USDT,145.927,148.038,129.859,138.641,3936109.1,537382520.9079,742382
1619049600000,2021-04-22 00:00:00,FIL/USDT,147.667,157.948,144.273,145.926,2653532.0,397017355.8066,562228
1618963200000,2021-04-21 00:00:00,FIL/USDT,153.893,158.919,147.000,147.645,1967350.6,303625772.8478,427240
1618876800000,2021-04-20 00:00:00,FIL/USDT,154.703,157.581,144.306,153.935,2591932.1,391386916.0931,569396
1618790400000,2021-04-19 00:00:00,FIL/USDT,156.234,164.800,150.399,154.705,2742195.9,432466172.6491,578867
1618704000000,2021-04-18 00:00:00,FIL/USDT,181.061,183.537,127.000,156.234,6180975.7,963547824.0196,1166385
